ano,trimestre,lucroLiquido,vendas,ativos,patrimonioLiquido
2012,1,1459274,11621532,24545040,11273463
2012,2,3619089,24424115,27604524,12795273
2012,3,5982220,37657821,30850183,14554622
2012,4,6020813,50213225,33704203,14110013
2013,1,600786,10645339,67319017,51502391
2013,2,2670471,23570029,75480252,53211811
2013,3,4261171,39505927,77595524,55043448
2013,4,6384095,56705205,79489779,57076517
2014,1,4253084,18469622,85264074,61329601
2014,2,7813190,38111479,83066366,60080972
2014,3,9474066,57842565,86641072,61370144
2014,4,11082997,78735289,86079357,59900245
2015,1,1871478,20398036,35337904,61504275
2015,2,4691612,41427147,34338882,64268574
2015,3,6948584,62038447,33058718,65214655
2015,4,9799730,83511773,98204457,66082334
2016,1,2084000,22570000,100912000,66797000
2016,2,4497000,45836000,100727000,68921000
2016,3,7108000,68413000,106065000,70236000
2016,4,8282000,95787000,155324000,70249000
2017,1,617000,36132000,150749000,70830000
2017,2,2024000,73210000,148932000,72339000
2017,3,4576000,110987000,150843000,74848000
2017,4,7464000,152306000,157501000,75607000
2018,1,-1799000,36604000,152721000,73765000
2018,2,211000,74896000,154286000,83680000
2018,3,1629000,114910000,157100000,84999000
2018,4,2726000,159386000,167430000,85350000
