Mês/Ano,2012,2013,2014,2015,2016,2017,2018
Janeiro,0.0056,0.0086,0.0055,0.0124,0.0127,0.0038,0.0029
Fevereiro,0.0045,0.0060,0.0069,0.0122,0.0090,0.0033,0.0032
Março,0.0021,0.0047,0.0092,0.0132,0.0043,0.0025,0.0009
Abril,0.0064,0.0055,0.0067,0.0071,0.0061,0.0014,0.0022
Maio,0.0036,0.0037,0.0046,0.0074,0.0078,0.0031,0.0040
Junho,0.0008,0.0026,0.0040,0.0079,0.0035,-0.0023,0.0126
Julho,0.0043,0.0003,0.0001,0.0062,0.0052,0.0024,0.0033
Agosto,0.0041,0.0024,0.0025,0.0022,0.0044,0.0019,-0.0009
Setembro,0.0057,0.0035,0.0057,0.0054,0.0008,0.0016,0.0048
Outubro,0.0059,0.0057,0.0042,0.0082,0.0026,0.0042,0.0045
Novembro,0.0060,0.0054,0.0051,0.0101,0.0018,0.0028,-0.0021
Dezembro,0.0079,0.0092,0.0078,0.0096,0.0030,0.0044,0.0015
